ticker,corp_name,delisting_date,delisting_reason,corp_code,listed_company
058900,투미비티,20101012,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",00392600,0
055250,다휘,20101001,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",00353735,0
035400,브이에스에스티,20101001,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정,00223346,0
033030,지오엠씨,20100925,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",00232317,0
041450,인네트,20100914,최종부도 발생,00269339,0
089240,네오세미테크,20100903,감사의견거절(감사범위 제한),00535588,0
058690,퓨쳐인포넷,20100826,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지가 필요하다고 인정,00225210,0
041550,쎄라텍,20100825,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",00138376,0
012580,톰보이,20100730,최종부도발생,00132488,0
018890,모라리소스,20100722,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의  건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",00101947,0
011050,케드콤,20100722,감사의견 의견거절,00159281,0
047710,액티투오,20100721,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",00348557,0
035830,메카포럼,20100716,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",00246383,0
066300,샤인시스템,20100629,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",00224567,0
066930,에스디,20100629,상장폐지신청('10.06.01),00317089,0
023670,알이엔,20100617,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",00104892,0
068770,선우중공업,20100617,"기업의 계속성, 경영의 투명성 또는 기타 코스닥시장의 건전성 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정",00238913,0
011400,케이씨오에너지,20100520,최종부도발생,00173069,0
067850,바이나믹,20100519,당해 코스닥시장상장법인의 계속성 및 경영의 투명성 등을 종합적으로 고려한 결과 상장폐지기준에 해당한다고 결정,00417963,0
018410,현대금속,20100513,감사의견 의견거절,00174475,0
007490,태창기업,20100513,감사의견 의견거절,00154204,0
041630,인젠,20100508,감사범위제한으로 인한 의견거절,00352295,0
085990,단성일렉트론,20100508,감사의견거절(감사범위제한),00480905,0
058480,해원에스티,20100508,감사범위제한으로 인한 감사의견거절,00252001,0
057100,하이스마텍,20100508,감사의견거절(감사범위제한),00350057,0
053470,오페스,20100508,감사범위제한으로 인한 감사의견 거절,00311298,0
074140,엑스로드,20100508,감사범위제한으로 인한 의견거절,00463050,0
030390,쏠라엔텍,20100508,감사의견거절(감사범위제한 및 계속기업 존속 불확실),00268020,0
041320,보홍,20100508,감사의견거절(감사범위제한),00269287,0
065410,지엔텍홀딩스,20100505,감사의견거절(감사범위제한 및 계속기업 존속 불확실),00210537,0
041030,이루넷,20100505,감사범위제한으로 인한 감사의견 거절,00257529,0
012090,성원건설,20100503,감사의견 의견거절,00133034,0
024870,유성티에스아이,20100503,감사의견 의견거절,00144562,0
069470,제로원인터랙티브,20100503,감사의견 의견거절,00428792,0
035710,CL,20100501,감사범위제한으로 인한 감사의견거절,00259493,0
037110,JS,20100501,감사의견거절(감사범위제한),00246189,0
078670,아구스,20100501,감사의견거절(감사범위제한 및 계속기업 존속 불확실),00537443,0
020070,에버리소스,20100501,감사범위제한 및 계속기업존속능력에 대한 불확실성으로 인한 감사의견거절,00154727,0
076090,테이크시스템,20100423,감사의견거절(감사범위제한),00475532,0
002540,고제,20100423,감사의견 의견거절,00103325,0
045290,포네이처,20100423,사업보고서 법정제출기한 익일부터 10일이내 미제출,00263885,0
033190,폴켐,20100423,사업보고서 법정제출기한 익일부터 10일이내 미제출,00130204,0
053440,성우몰드,20100421,상장폐지신청('10.3.29),00208301,0
048130,에스피코프,20100420,최종부도 발생,00345499,0
038690,에이스일렉,20100417,감사의견거절(감사범위제한),00264556,0
033260,쌈지,20100417,최종부도 발생,00225140,0
001600,서광건설,20100415,자본전액잠식,00173397,0
004820,조인에너지,20100415,자본전액잠식,00174305,0
034660,제넥셀,20100415,감사범위제한으로 인한 감사의견 거절,00211271,0
017300,에이치비이에너지,20100415,자본전액잠식,00152631,0
065340,쓰리디월드,20100415,감사의견거절(감사범위제한),00388272,0
060670,유퍼트,20100413,자본전액잠식,00299686,0
046350,에듀아크,20100413,최근 3사업연도 연속 자기자본 대비 50% 초과 법인세 비용차감전계속사업손실 발생,00250775,0
015170,중앙바이오텍,20100413,자본전액잠식,00149877,0
032030,일공공일안경,20100413,자본전액잠식,00107358,0
008340,코레스,20100413,자본전액잠식,00133715,0
051810,모보,20100413,최근 3사업연도 연속 자기자본 50%초과 법인세비용차감전 계속사업손실 등,00347442,0
079560,모젬,20100413,최근 3사업연도 연속 자기자본 대비 50% 초과 법인세 비용차감전계속사업손실 발생,00481223,0
064060,사이노젠,20100413,자본전액잠식,00367376,0
